Element 1,Element 2,Element 3,Elements Required,Damage Type,Buff/Debuff,Type,Node Type,Ability Name,I,II,III
Caustic,,,1,Caustic,Corrosion+,Passive,Single,corrosive breath,continual stream distance1 in front of the ship adds 1 stack of [corrosion] to any baddie in it for 1 second (more seconds in it add more stacks),distance increased to distance2; corrosion+,"if a baddie is in the breath in distance1 for .1 seconds, it gets max stacks of corrosion+"
Chrono,,,1,N/A,N/A,Passive,Single,foresight,elites have their actions telegraphed 1 second before they go off,elites and minibosses have actions telegraphed for 1 second,"elites, bosses, and minibosses have actions telegraphed 1.5 sec ahead"
Cryo,,,1,Cryo,N/A,Passive,Single,cold heart,enemies within radius 1 of player take n extra damage as cryo type when they are hit from a basic attack or crit,more damage,"increase damage; radius_2, all damage sources"
Ether,,,1,N/A,Evasion+,Passive,Single,phase,you always have evasion,you always have evasion+,you always have evasion++
Forge,,,1,N/A,N/A,Passive,Single,thick hull,you have n more hp (+100 total),more hp (+250 total),even moar hp (+500 total)
Gamma,,,1,Gamma,N/A,Passive,Single,laser sight,a thin green laser line (like a laser sight from a gun) touches the nearest baddie on screen. laser sight will move to whichever baddie is nearest. this baddie takes + extra gamma damage from shots,the baddie takes the extra damage from all sources,even more damage from all sources
Plasma,,,1,Plasma,N/A,Passive,Single,flame tail,the ship leaves a tailing flame area of width_1 tailing from its stern; fades over 2 seconds; enemies take plasma damage every .2 ticks,more damage in flame area,"more damage in flame area, width_2"
Void,,,1,N/A,Gravity+,Passive,Single,vacuum,"enemies within r3 of ship are pulled into r2 (enough for basic enemies to get out with great effort, fast enemies would have noticable difference still but not struggle)",enemies within r3 get [gravity] to r2,"enemies within r3 get [gravity] to r2, enemies in r2 are [gravity+] into r1; baddies pulled into or already in r1 are [gravity+] within radius 1 and take void damage"
Volt,,,1,Volt,Shock+,Passive,Single,static touch,"when a baddie gets within radius_1 of the player, they receive shock and also take n damage after the shock debuff is applied; passive ability goes on a 5 second cooldown",more damage; shock+,"more damage, all radius measure goes to r2; passive has 2 charges on 5 second cooldown"
Caustic,Chrono,,2,,,Passive,Dual,,,,
Caustic,Chrono,,2,N/A,MaxHP_Loss+,Active,Dual,Time Degradation,each target you hit for 2 seconds receives MaxHP_Loss for 10 seconds,each target you hit for 3 seconds receives MaxHP_Loss+ for 15 seconds,each target you hit for 4 seconds receives MaxHP_Loss+ for 30 seconds
Caustic,Cryo,,2,N/A,N/A,Passive,Dual,immunity,you cannot be affected by [burn] or [corrosive],"you cannot be affected by burn, corrosion, stagger, or shock","you cannot be affected by any debuff, including the + form of debuffs"
Caustic,Cryo,,2,,,Active,Dual,,,,
Caustic,Ether,,2,Caustic,N/A,Passive,Dual,Rot Burst,"any baddies that die while having [corrosion] detonate on death, dealing n caustic damage in a small radius",more damage,"even more damage, radius_1"
Caustic,Ether,,2,Caustic,"Corrosion, Poison",Active,Dual,Contagion,"a caustic wisp launches to the nearest baddie; this baddie gets 1 stack of corrosion and poison; when the baddie dies, the caustic wisp leaves and carries the stacks to a new baddie within radius_1 of the initial that died; this caustic wisp will keep hopping until it no longer can (likely when the wave dies and theres nowhere to hop, before the next wave starts)",3 stacks of corrosion and poison,max corrosion and poison stacks; two caustic wisps leave and hit two new targets in continual propogation by two's instead of 1
Caustic,Forge,,2,Caustic,N/A,Passive,Dual,corrosive exhaust,"more exhaust ports from toxic burning fuel, one in the bow, starboard, and port. out to a distance_1; enemies in the blast take caustic damage, and are pushed continually (so would slow movespeed if the baddies speed was greater than the push)",more caustic damage,more caustic damage
Caustic,Forge,,2,,,Active,Dual,,,,
Caustic,Gamma,,2,Caustic,Poison,Passive,Dual,Radiation Poisoning,any enemy that spends .5 seconds in radius_1 of you gets a stack of poison (an extra stack for more time spent in the radius),any enemy that spends .5 seconds in radius_1 of you gets a stack of poison,any enemy that spends .5 seconds in radius_1 of you gets a stack of poison+
Caustic,Gamma,,2,,,Active,Dual,,,,
Caustic,Plasma,,2,Caustic+Plasma,,Passive,Dual,double dragon,"flame and caustic both follow from stern for caustic+plasma damage, and both continual stream out to a distance2",more damage in area,baddies get burn and corrosion
Caustic,Plasma,,2,Plasma,,Active,Dual,greek fire (i want a better name but the idea of this came from greek fire),"a hot bar of caustic hits and can penetrate to hit an extra enemy, dealing large plasma damage",more damage; target gets burn,"more plasma damage, target gets burn that re-applies every 4 seconds"
Caustic,Void,,2,Caustic,Gravity,Passive,Dual,Caustic Implosion,"when a target reaches max stacks of caustic or poison, and you deal damage to it, all caustic and poison stacks go away and radius_1 of baddies near the target get [gravity] into the target, then the target and all baddies in a close radius take n caustic damage per stack that was removed

Special: If the target was affected by Contagion, and the stack removal damage kills the target, then the stacks that blew up are carried by Contagion's Caustic Wisp","more damage per stack, gravity pull duration is longer ",all baddies in the radius 1 take the damage; more damage per stack
Caustic,Void,,2,,,Active,Dual,,,,
Caustic,Volt,,2,Caustic,,Passive,Dual,chain shot,"your attacks will bounce a caustic projectile directly to an additional target within radius 1 of the first for full damage (if an attack pierces, then it bounces off the second hit when the projectile would normally end; i think that behavior would be easier to code)",the caustic projectile bounces a second time,caustic projectile now bounces 4 times
Caustic,Volt,,2,,"Corrosion, Poison, Shock",Active,Dual,Corroded Wires,"you toss out a wire net at a distance 2, of a radius 1. all baddies in the net are prevented from moving out of the netted area, but will move randomly and freely inside. netted baddies take corrosion and poison stack every 1 second; also recieve shock while inside; lasts 2 seconds",lasts 3 seconds,added stack every .75 seconds; shock+ for those inside
Chrono,Cryo,,2,,,Passive,Dual,slow time,"when [left panel] is [idle] (idle meaning, the left thumb is lifted), [game speed] reduces by n% for dur or when left thumb presses again. triggers c [cooldown time] once dur ends.

(right panel still works, so the ability button can send an ability, the ship can rotate facing position, your own cooldowns are the same, durations or status ailment times on you are the same as its relative to you)","when [left panel] is [idle], [game speed] reduces by n+y% triggers c [cooldown time]","when [left panel] is [idle], [game speed] stops triggers c [cooldown time].

(in a time stop, all damage builds but doesnt apply til the very end of the time stop. once time starts again, then all damage applies, and baddies can die.)

(i see this being a possible glitch or bug when a boss dies which would cause end of level, or last enemy of a stage, or one wave to the next wave. need to be careful with how end sequences are determined and coded, and how this is coded)"
Chrono,Cryo,,2,Chrono,Slow,Active,Dual,second hand,"a long icicle spear (stretches to the edge of radius_2) from the ship to its end point, rotates around the ship so every second it reaches back to 12-oclock position (like the second hand of a clock); any baddie hit by the spear takes n chrono damage and slow",more damage,"more damage; adds a smaller hand that rotates from the radius_1 distance, goes 4xs faster, but does half damage as the other one"
Chrono,Ether,,2,N/A,N/A,Passive,Dual,Desync,enemy projectiles move at .75 speed when reaching a close radius of you,projectiles move at .5 speed in close radius,"projectiles now move at .5 speed when within radius_1, and .9 speed within radius_2"
Chrono,Ether,,2,N/A,"damage immune, untargetable, stasis",Active,Dual,Ghost Frame,"you freeze yourself in time; you get [damage immune], and [untargetable], and [stasis], for 3 seconds; all your cooldowns and health regen tick at 2x speed;","you freeze yourself in time; you get [damage immune], and [untargetable], and [stasis], for 3 seconds; all your cooldowns and health regen tick at 3x speed","you freeze yourself in time; you get [damage immune], and [untargetable], and [stasis], for 3 seconds; all your cooldowns and health regen tick at 5x speed; removes debuffs at the end of the ability's duration"
Chrono,Forge,,2,N/A,N/A,Passive,Dual,Delay the Present,"damage you take is delayed over 3 second, instead of immediate

Note: Damage Immune will absorb any damage if it would hit while the damage immune buff is on",damage you take is delayed over 5 seconds,damage you take is delayed over 8 seconds.
Chrono,Forge,,2,,,Active,Dual,,,,
Chrono,Gamma,,2,,,Passive,Dual,,,,
Chrono,Gamma,,2,N/A,"Radiate+, Slow+",Active,Dual,Half Life,"you get radiate, but then get slow when it ends","you get radiate+, but then get slow when it ends","you get radiate+; you get slow, and any baddies in radius 2 of you get slow+"
Chrono,Plasma,,2,,,Passive,Dual,overclock,your fire/shoot rate increases by x% (i tihnk we keep this one as a percent); all your cooldowns are decreased by y%,"faster attacks, decreased cooldown","faster attacks, decreased cooldown"
Chrono,Plasma,,2,,,Active,Dual,,,,
